id,term,category,weight
323,wife,1653,958
324,unconditionally,1653,51
325,married,1653,4734
326,brother's,1653,134
327,thin,1653,5793
328,loves,1653,3057
329,works,1653,2240
330,husband,1653,5436
331,shave,298,2548
332,eyebrows,298,875
333,booty,298,67
334,haircut,298,687
335,rip,298,466
336,chin,298,725
337,razor,298,234
338,cherry,298,759
339,shaved,298,1017
340,brighter,298,115
341,beard,298,3416
342,boom,298,10537
343,wax,298,139
344,dynamite,298,314
345,legs,298,968
346,ronnie,298,1262
347,shaving,298,671
348,hairy,298,198
349,sonic,298,262
350,fatty,298,47
351,hairs,298,173
352,bald,298,72
353,facial,298,87
354,november,298,723
355,grow,298,1022
356,james,298,1098
357,smooth,298,209
358,corey,298,910
359,boo,298,630
360,growing,298,722
361,manly,298,138
362,bam,298,275
363,mustache,298,1298
364,bittersweet,299,291
365,should've,299,102
366,fond,299,256
367,farewell,299,2832
368,miss,299,4557
369,heartache,299,188
370,lovers,299,227
371,romance,299,122
372,beloved,299,150
373,brace,299,58
374,painful,299,422
375,explained,299,101
376,bid,299,1031
377,wave,299,566
378,waving,299,195
379,alas,299,130
380,kiss,299,795
381,kissing,299,87
382,saddest,299,53
383,goodbyes,299,1006
384,lasted,299,54
385,leaving,299,1356
386,hopeless,299,223
387,goodbye,299,20114
388,lover,299,488
389,meet,299,1347
390,building,296,355
391,abandoned,296,119
392,somethings,296,340
393,leaves,296,254
394,stranded,296,71
395,deeds,296,69
396,days,296,6845
397,dead,296,888
398,speechless,296,1426
399,locker,296,64
400,undone,296,432
401,exit,296,43
402,handed,296,1038
403,elvis,296,65
404,side,296,1991
405,longest,296,511
406,left,296,32481
407,guess,297,3092
408,yup,297,7016
409,definately,297,599
410,yeah,297,2508
411,hmm,297,649
412,nope,297,662
413,basically,297,380
414,guessed,297,245
415,ummm,297,121
416,yep,297,8804
417,typical,297,336
418,officially,297,1033
419,def,297,150
420,that's,297,6636
421,harm,294,100
422,weren't,294,618
423,wasnt,294,552
424,werent,294,129
425,logical,294,30
426,coincidence,294,50
427,understood,294,155
428,expect,294,531
429,offense,294,49
430,happen,294,2385
431,skirt,294,61
432,couldnt,294,221
433,issues,294,164
434,knees,294,167
435,guess,294,2291
436,wanted,294,1293
437,destiny,294,162
438,ment,294,1026
439,things,294,5184
440,realizing,294,466
441,somethings,294,403
442,innocence,294,46
443,cared,294,78
444,returns,294,80
445,playground,294,134
446,siblings,294,113
447,supposed,294,821
448,meant,294,15123
449,eventually,294,347
450,arent,294,357
451,helmet,294,91
452,knew,294,1443
453,protection,294,138
454,fastest,294,107
455,demand,294,263
456,goodbyes,294,271
457,aren't,294,1228
458,highest,294,135
459,launch,294,43
460,wasn't,294,1447
461,originally,294,41
462,thought,294,2798
463,assume,294,508
464,suppose,294,426
465,oops,294,569
466,swing,294,150
467,naturally,294,641
468,hyper,295,620
469,restless,295,63
470,blizzard,295,584
471,rockstar,295,357
472,energy,295,15268
473,stat,295,69
474,tons,295,203
475,cans,295,50
476,alternative,295,89
477,popping,295,52
478,drinks,295,3154
479,confidence,295,255
480,sippin,295,214
481,bottles,295,596
482,drained,295,402
483,needing,295,84
484,burst,295,193
485,poppin,295,623
486,caffeine,295,518
487,consuming,295,53
488,source,295,101
489,drank,295,253
490,enthusiasm,295,196
491,boost,295,497
492,redbull,295,444
493,naturally,295,46
494,coffee,295,1243
495,full,295,1508
496,consume,295,33
497,monster,295,956
498,lacking,295,61
499,packs,295,129
500,hr,295,357
501,drink,295,4816
502,vitamin,295,75
503,feelin,295,824
504,remedy,295,78
505,feeding,295,96
506,starbucks,295,204
507,amp,295,100
508,energetic,295,80
509,potential,295,154
510,jacked,295,79
511,drain,295,284
512,liquid,295,57
513,gettin,295,672
514,worn,295,105
515,monsters,295,84
516,intention,295,34
517,levels,295,72
518,realizes,295,80
519,shots,295,221
520,reserve,295,46
521,pack,295,458
522,pre,292,143
523,affair,292,94
524,ladies,292,1192
525,finest,292,73
526,fellas,292,55
527,saturdays,292,144
528,deck,292,97
529,thursdays,292,85
530,hamburger,292,41
531,dancers,292,114
